,BingoDeal,Deal,BingoRec,
1,1.585,0.001585,0.0274044,2
2,5.5179,0.0055179,0.0744164,3
3,11.0311,0.0110311,0.1434669,4
4,20.8432,0.0208432,0.2428652,5
5,32.9277,0.0329277,0.3833068,6
6,43.571,0.043571,0.6294357,7
7,78.8521,0.0788521,0.9704037,8
8,94.0799,0.0940799,1.1064964,9
9,112.989,0.112989,1.4846318,10
10,136.1854,0.1361854,1.9607599,11
11,173.9871,0.1739871,2.50316,12
12,223.8834,0.2238834,3.6710532,13
13,273.5006,0.2735006,3.851899,14
14,308.9969,0.3089969,4.7405816,15
15,468.1677,0.4681677,5.3991831,16
16,419.29,0.41929,6.4746145,17
17,509.0248,0.5090248,7.532656,18
18,572.9251,0.5729251,8.5829057,19
19,646.8905,0.6468905,11.5026984,20
20,943.2265,0.9432265,12.3137666,21
21,865.3891,0.8653891,13.4136927,22
22,991.3346,0.9913346,14.7500712,23
23,,1.1338987,16.875169,24
24,,1.3892385,19.8202676,25
25,,1.4950897,20.8043803,26
26,,1.5785236,23.4250875,27
27,,1.6996922,26.6531254,28
28,,1.9046133,29.0195499,29
29,,2.3666449,32.3867717,30
30,,2.3101083,34.4289449,31
31,,2.5136682,32.014692,32
32,,2.2594069,35.3494557,33
33,,2.4403618,39.0990568,34
34,,2.6430004,41.1239875,35
35,,2.9158488,50.2192465,36
36,,4.1797008,59.360732,37
37,,5.0392553,65.2000783,38
38,,5.458822,75.79387,39
39,,5.8221925,76.9702839,40
40,,8.1499759,84.0036013,41
41,,10.3163433,91.0267678,42
